studentId,courseCode,day,period,roomNumber
40,MADR 3206,TH,7,Room 9
40,MADR 3206,W,7,Room 9
40,MADR 3604,M,1,Room 5
40,MADR 3604,W,1,Room 5
40,MADR 4901,T,5,Room 9
40,MADR 4901,TH,5,Room 9
41,MADR 3001,T,5,Room 3
41,MADR 3001,TH,5,Room 3
41,MADR 3021,T,5,Room 7
41,MADR 4511W,M,7,Room 3
41,MADR 4511W,W,7,Room 3
41,MADR 4611,M,6,Room 9
41,MADR 4611,T,6,Room 9
41,MADR 4611,TH,6,Room 9
41,MADR 4611,W,6,Room 9
42,MADR 3002,T,5,Room 2
42,MADR 3002,TH,5,Room 2
42,MADR 3012,M,1,Room 7
42,MADR 3012,T,1,Room 7
42,MADR 3012,TH,1,Room 7
42,MADR 3012,W,1,Room 7
42,MADR 3025,M,7,Room 7
42,MADR 3025,T,7,Room 7
42,MADR 3025,TH,7,Room 7
42,MADR 3025,W,7,Room 7
42,MADR 3206,M,7,Room 9
42,MADR 3206,T,7,Room 9
42,MADR 3206,TH,7,Room 9
42,MADR 3206,W,7,Room 9
43,MADR 3081W,M,7,Room 8
43,MADR 3081W,T,7,Room 8
43,MADR 3081W,TH,7,Room 8
43,MADR 3081W,W,7,Room 8
43,MADR 4041,M,7,Room 4
43,MADR 4041,T,7,Room 4
43,MADR 4041,TH,7,Room 4
43,MADR 4041,W,7,Room 4
43,MADR 4511W,M,7,Room 3
43,MADR 4511W,W,7,Room 3
44,MADR 1001,M,8,Room 2
44,MADR 1001,W,8,Room 2
44,MADR 3006,M,2,Room 7
44,MADR 3006,W,2,Room 7
44,MADR 3014,T,2,Room 7
44,MADR 3014,TH,2,Room 7
44,MADR 3711,T,1,Room 1
44,MADR 3711,TH,1,Room 1
45,MADR 3002,T,5,Room 2
45,MADR 3002,TH,5,Room 2
45,MADR 3012,M,1,Room 7
45,MADR 3012,T,1,Room 7
45,MADR 3012,TH,1,Room 7
45,MADR 3012,W,1,Room 7
45,MADR 3021,T,5,Room 7
45,MADR 3025,M,7,Room 7
45,MADR 3025,T,7,Room 7
45,MADR 3025,TH,7,Room 7
45,MADR 3025,W,7,Room 7
46,MADR 3006,M,2,Room 7
46,MADR 3006,W,2,Room 7
46,MADR 3012,M,1,Room 7
46,MADR 3012,T,1,Room 7
46,MADR 3012,TH,1,Room 7
46,MADR 3012,W,1,Room 7
46,MADR 3019,TH,6,Room 7
46,MADR 3301,T,2,Room 1
46,MADR 3301,TH,2,Room 1
47,MADR 1004,T,5,Room 1
47,MADR 1004,TH,5,Room 1
47,MADR 3206,M,7,Room 9
47,MADR 3206,T,7,Room 9
47,MADR 3206,TH,7,Room 9
47,MADR 3206,W,7,Room 9
47,MADR 3301,T,2,Room 1
47,MADR 3301,TH,2,Room 1
47,MADR 3711,T,1,Room 1
47,MADR 3711,TH,1,Room 1
48,MADR 3002,T,5,Room 2
48,MADR 3002,TH,5,Room 2
48,MADR 3006,M,2,Room 7
48,MADR 3006,W,2,Room 7
48,MADR 3014,T,2,Room 7
48,MADR 3014,TH,2,Room 7
48,MADR 3711,T,1,Room 1
48,MADR 3711,TH,1,Room 1
49,MADR 3017,T,2,Room 2
49,MADR 3017,TH,2,Room 2
49,MADR 3019,TH,6,Room 7
49,MADR 3021,T,5,Room 7
49,MADR 3026,M,6,Room 5
49,MADR 3026,T,6,Room 5
49,MADR 3026,TH,6,Room 5
49,MADR 3026,W,6,Room 5
50,MADR 3012,M,1,Room 7
50,MADR 3012,T,1,Room 7
50,MADR 3012,TH,1,Room 7
50,MADR 3012,W,1,Room 7
50,MADR 3013,M,7,Room 5
50,MADR 3013,T,7,Room 5
50,MADR 3013,TH,7,Room 5
50,MADR 3013,W,7,Room 5
50,MADR 3017,T,2,Room 2
50,MADR 3017,TH,2,Room 2
50,MADR 3021,T,5,Room 7
51,MADR 3018,T,5,Room 5
51,MADR 3018,TH,5,Room 5
51,MADR 3031,M,7,Room 2
51,MADR 3031,T,7,Room 2
51,MADR 3031,TH,7,Room 2
51,MADR 3031,W,7,Room 2
51,MADR 3301,T,2,Room 1
51,MADR 3301,TH,2,Room 1
51,MADR 3711,T,1,Room 1
51,MADR 3711,TH,1,Room 1
52,MADR 3018,T,5,Room 5
52,MADR 3018,TH,5,Room 5
52,MADR 3031,M,7,Room 2
52,MADR 3031,T,7,Room 2
52,MADR 3031,TH,7,Room 2
52,MADR 3031,W,7,Room 2
52,MADR 3711,T,1,Room 1
52,MADR 3711,TH,1,Room 1
52,MADR 4901,T,5,Room 9
52,MADR 4901,TH,5,Room 9
53,MADR 3012,M,1,Room 7
53,MADR 3012,T,1,Room 7
53,MADR 3012,TH,1,Room 7
53,MADR 3012,W,1,Room 7
53,MADR 3014,T,2,Room 7
53,MADR 3014,TH,2,Room 7
53,MADR 4041,M,7,Room 4
53,MADR 4041,T,7,Room 4
53,MADR 4041,TH,7,Room 4
53,MADR 4041,W,7,Room 4
53,MADR 4611,M,6,Room 9
53,MADR 4611,T,6,Room 9
53,MADR 4611,TH,6,Room 9
53,MADR 4611,W,6,Room 9
54,MADR 3008,T,6,Room 3
54,MADR 3008,TH,6,Room 3
54,MADR 3019,TH,6,Room 7
54,MADR 3025,M,7,Room 7
54,MADR 3025,T,7,Room 7
54,MADR 3025,TH,7,Room 7
54,MADR 3025,W,7,Room 7
54,MADR 3301,T,2,Room 1
54,MADR 3301,TH,2,Room 1
55,MADR 3017,T,2,Room 2
55,MADR 3017,TH,2,Room 2
55,MADR 3019,TH,6,Room 7
55,MADR 3021,T,5,Room 7
55,MADR 3026,M,6,Room 5
55,MADR 3026,T,6,Room 5
55,MADR 3026,TH,6,Room 5
55,MADR 3026,W,6,Room 5
56,MADR 3031,M,7,Room 2
56,MADR 3031,T,7,Room 2
56,MADR 3031,TH,7,Room 2
56,MADR 3031,W,7,Room 2
56,MADR 3206,M,7,Room 9
56,MADR 3206,T,7,Room 9
56,MADR 3206,TH,7,Room 9
56,MADR 3206,W,7,Room 9
56,MADR 3301,T,2,Room 1
56,MADR 3301,TH,2,Room 1
56,MADR 4901,T,5,Room 9
56,MADR 4901,TH,5,Room 9
57,MADR 3006,M,2,Room 7
57,MADR 3006,W,2,Room 7
57,MADR 3025,M,7,Room 7
57,MADR 3025,T,7,Room 7
57,MADR 3025,TH,7,Room 7
57,MADR 3025,W,7,Room 7
57,MADR 3301,T,2,Room 1
57,MADR 3301,TH,2,Room 1
57,MADR 3711,T,1,Room 1
57,MADR 3711,TH,1,Room 1
58,MADR 3031,M,7,Room 2
58,MADR 3031,T,7,Room 2
58,MADR 3031,TH,7,Room 2
58,MADR 3031,W,7,Room 2
58,MADR 3081W,M,7,Room 8
58,MADR 3081W,T,7,Room 8
58,MADR 3081W,TH,7,Room 8
58,MADR 3081W,W,7,Room 8
58,MADR 4041,M,7,Room 4
58,MADR 4041,T,7,Room 4
58,MADR 4041,TH,7,Room 4
58,MADR 4041,W,7,Room 4
58,MADR 4511W,M,7,Room 3
58,MADR 4511W,W,7,Room 3
59,MADR 3021,T,5,Room 7
59,MADR 3025,M,7,Room 7
59,MADR 3025,T,7,Room 7
59,MADR 3025,TH,7,Room 7
59,MADR 3025,W,7,Room 7
59,MADR 3031,M,7,Room 2
59,MADR 3031,T,7,Room 2
59,MADR 3031,TH,7,Room 2
59,MADR 3031,W,7,Room 2
59,MADR 3301,T,2,Room 1
59,MADR 3301,TH,2,Room 1
59,MADR 3711,T,1,Room 1
59,MADR 3711,TH,1,Room 1
