full_course_list,credits
MADR 1001 Beginning Spanish (I),5
MADR 1002 Beginning Spanish (II),5
MADR 1003 Intermediate Spanish (I),5
MADR 1004 Intermediate Spanish (II),5
MADR 3001 Financial Management,3
MADR 3002 Ecology Of Spain,3
MADR 3006 World Religion,3
MADR 3008 Fundamentals Of Marketing,3
MADR 3012 Internship In Spain,3
MADR 3013 Spanish Civilization (esp),3
MADR 3014 Corporate Social Responsibility,3
MADR 3017 Spanish Conversation,3
MADR 3018 Introduction To Biological Psychology,3
"MADR 3019 Culture, Globalization & The Media",3
MADR 3021 Art At the Prado Museum,3
MADR 3023 Human Neuroanatomy,3
MADR 3024 Spanish For The Workplace,3
MADR 3025 Modern Masters,3
MADR 3026 100% Made In Spain (esp),3
MADR 3027 Contemporary Spanish History Through Film (esp),3
MADR 3031 Sensation And Perception,3
MADR 3081W Program Design And Development,4
MADR 3206 Health Psychology,3
MADR 3301 Cross-Cultural Psychology,3
MADR 3604 Intro To Psychopathology,3
MADR 3711 Psychology In The Workplace,3
MADR 4041 Algorithms & Data Structures,4
MADR 4511W Intro To AI,4
MADR 4611 Programming Interactive Computer Graphics And Games,4
MADR 4901 Research Laboratory In Psychology,3
MADR 5448 Cryptology & Number Theory,3
UMN Global Identity,1
